UserId,Email,Phone,AccountStatus,IsPremium,AuthMethod,CreatedAt,Nickname,Gender,Age,JobTitle,City,ProfileCompletion,KYCStatus
696f64ae4a66112d4cd6edc7,patelrajiev1090342@gmail.com,+919406945069,active,No,phone,2026-01-20,satyam,man,,Designer,Indore,100%,approved
696f69fd82f743b5c4ef3cd4,rptech9009@gmail.com,+919406945070,active,No,phone,2026-01-20,aman,man,,Designer,,90%,approved
696f6d139ab4d75fecb9190b,,+919406945062,active,No,phone,2026-01-20,anubhav,man,,Designer,Indore,100%,approved
696f6e959ab4d75fecb91975,,+919406945063,active,No,phone,2026-01-20,rajeev,man,,Designer,Indore,100%,approved
696f6f569ab4d75fecb919a8,,+919406945064,active,No,phone,2026-01-20,,,,,Indore,10%,not_started
696f727933c05010a6eb6066,riya.kapoor@example.com,+919811110001,active,Yes,google,2024-11-20,riya,woman,25,Software Engineer,Indore,95%,approved
696f764c9ab4d75fecb919c8,,+919406945065,active,No,phone,2026-01-20,prince,man,,Designer,Indore,100%,approved
696f77419ab4d75fecb91a09,,+919406945066,active,No,phone,2026-01-20,pradeep,man,,Designer,Indore,100%,approved
696f77ec33c05010a6eb606a,arjun.mehta@example.com,+919811110002,active,No,email,2024-10-10,arjun,man,27,Product Manager,Bangalore,100%,approved
696f78d733c05010a6eb606c,ananya.roy@example.com,+919811110003,active,Yes,email,2025-01-05,ananya,woman,24,,Kolkata,0%,not_started
696f847d7d7893801c4417b2,xawikey740@okexbit.com,+919406945040,active,No,phone,2026-01-20,ruchi,woman,,Designer,Indore,100%,approved
696f862c9ab4d75fecb91b15,,+919406945041,active,No,phone,2026-01-20,rahul,man,,Designer,Indore,100%,approved
696f872a9ab4d75fecb91b48,,+919406945042,active,No,phone,2026-01-20,aniket,man,,Designer,indore,100%,approved
696f886b9ab4d75fecb91b85,,+919406945043,active,No,phone,2026-01-20,deepesh,man,,Designer,Indore,100%,approved
696f88f89ab4d75fecb91bb8,,+919406945044,active,No,phone,2026-01-20,ayush,man,,Designer,Indore,100%,approved
696f898a9ab4d75fecb91c02,,+919406945045,active,No,phone,2026-01-20,shivam,man,,Designer,Indore,100%,approved
696f985b9ab4d75fecb91c81,,+919406945030,active,No,phone,2026-01-20,hari,man,,Designer,Indore,100%,approved
69705c4a9ab4d75fecb91d11,,+919406945010,active,No,phone,2026-01-21,keshav,man,,Designer,Indore,100%,approved
69705f099ab4d75fecb91d69,,+919406945011,active,No,phone,2026-01-21,suraj,man,,Designer,Indore,100%,approved
69705f9e9ab4d75fecb91da0,,+919406945012,active,No,phone,2026-01-21,pawan,man,,Designer,Indore,100%,approved
6970603c9ab4d75fecb91dd3,,+919406945013,active,No,phone,2026-01-21,harish,man,,Designer,Indore,100%,approved
6970609e9ab4d75fecb91e0a,,+919406945014,active,No,phone,2026-01-21,patangi,man,,Designer,Indore,100%,approved
697061859ab4d75fecb91e54,,+919406945015,active,No,phone,2026-01-21,vedansh,man,,Designer,Indore,100%,approved
697061fe9ab4d75fecb91e88,,+919406945016,active,No,phone,2026-01-21,ajay,man,,Designer,Indore,100%,approved
697062669ab4d75fecb91ec1,,+919406945017,active,No,phone,2026-01-21,praveen,man,,Designer,Indore,100%,approved
697062bd9ab4d75fecb91ef5,,+919406945018,active,No,phone,2026-01-21,arjun,man,,Designer,Indore,100%,approved
697062ff9ab4d75fecb91f2b,,+919406945019,active,No,phone,2026-01-21,deepansh,man,,Designer,Indore,100%,approved
6970634c9ab4d75fecb91f5f,,+919406945020,active,No,phone,2026-01-21,dev,man,,Designer,Indore,100%,approved
697065399ab4d75fecb91fa6,,+919406945021,active,No,phone,2026-01-21,virat,man,,Designer,Indore,100%,approved
697065a39ab4d75fecb91fda,,+919406945022,active,No,phone,2026-01-21,,,,,Indore,10%,approved
697065eb9ab4d75fecb92011,,+919406945023,active,No,phone,2026-01-21,raman,man,,Designer,Indore,100%,approved
697066449ab4d75fecb92045,,+919406945024,active,No,phone,2026-01-21,sourav,man,,Designer,Indore,100%,approved
